Loan_ID,Customer_ID,Loan_Amount,Interest_Rate,Loan_Term (in months),Credit_Score,Employement_type,Loan_Status,Activity,date,EMI,Category
90693086,34878,219833,0.05,46,756,Self-Employed,Rejected,Closed,20-01-2025,1099165,Good
62887572,25048,631728,0.05,148,661,Self-Employed,Defaulted,Active,17-10-2024,3158640,Fair
46777018,86561,965539,0.09,235,554,Self-Employed,Rejected,Closed,28-10-2024,8689851,Poor
72607007,40483,202938,0.05,249,576,Salaried,Approved,Active,09-09-2024,1014690,Poor
17207598,50702,930256,0.05,165,565,Self-Employed,Approved,Active,25-02-2025,4651280,Poor
84335412,40264,368212,0.02,48,519,Salaried,Approved,Closed,06-05-2024,736424,Poor
11672043,43220,843978,0.06,244,783,Self-Employed,Approved,Closed,28-08-2024,5063868,Good
39198612,56592,89193,0.05,220,378,Salaried,Approved,Active,29-10-2024,445965,Poor
7613465,85556,713963,0.09,272,525,Self-Employed,Approved,Active,21-06-2024,6425667,Poor
85544683,73013,682086,0.06,165,425,Self-Employed,Rejected,Active,26-07-2024,4092516,Poor
14855526,54752,634168,0.01,85,541,Salaried,Rejected,Active,30-05-2024,634168,Poor
82324627,69503,512479,0.01,178,462,Salaried,Rejected,Active,25-01-2025,512479,Poor
11449661,53871,253755,0.06,203,764,Self-Employed,Rejected,Active,28-03-2025,1522530,Good
47203265,71312,831003,0.01,213,816,Self-Employed,Approved,Closed,16-06-2024,831003,Excellent
39522345,68205,490694,0.05,270,579,Salaried,Rejected,Closed,20-07-2024,2453470,Poor
64253085,76936,536239,0.03,190,780,Salaried,Defaulted,Active,19-07-2024,1608717,Good
10071657,25834,729077,0.05,314,518,Self-Employed,Approved,Closed,06-08-2024,3645385,Poor
90428821,54762,290548,0.01,189,453,Self-Employed,Approved,Closed,21-10-2024,290548,Poor
76343458,42616,686521,0.09,238,770,Self-Employed,Defaulted,Closed,05-06-2024,6178689,Good
3927014,78222,15105,0.09,290,568,Salaried,Rejected,Active,22-08-2024,135945,Poor
42149231,39681,258524,0.06,340,609,Self-Employed,Approved,Closed,12-01-2025,1551144,Fair
41417105,30708,215033,0.07,349,542,Self-Employed,Approved,Closed,15-03-2025,1505231,Poor
48091485,84045,915277,0.01,88,614,Self-Employed,Rejected,Active,17-11-2024,915277,Fair
41481424,87207,657688,0.02,81,354,Self-Employed,Approved,Closed,14-08-2024,1315376,Poor
56407166,12348,803464,0.01,144,626,Self-Employed,Defaulted,Active,27-04-2024,803464,Fair
5383712,15162,153212,0.07,221,365,Salaried,Defaulted,Closed,23-06-2024,1072484,Poor
76328721,23404,567608,0.07,178,453,Self-Employed,Defaulted,Closed,10-10-2024,3973256,Poor
31537568,75707,445221,0.08,124,682,Self-Employed,Rejected,Closed,07-04-2024,3561768,Average
15651709,64936,704147,0.01,51,651,Self-Employed,Approved,Closed,14-07-2024,704147,Fair
75083407,51928,655714,0.05,49,792,Self-Employed,Approved,Active,29-04-2024,3278570,Good
29713455,38355,119998,0.03,94,546,Self-Employed,Approved,Closed,20-04-2024,359994,Poor
77311589,76583,555871,0.01,107,402,Salaried,Rejected,Active,07-04-2024,555871,Poor
11026184,45603,700641,0.07,351,479,Salaried,Defaulted,Active,29-10-2024,4904487,Poor
17362577,31055,884334,0.04,84,329,Self-Employed,Defaulted,Active,04-04-2024,3537336,Poor
33283554,24807,554374,0.04,153,565,Self-Employed,Approved,Closed,28-10-2024,2217496,Poor
65079773,44011,796230,0.09,111,385,Salaried,Rejected,Closed,19-02-2025,7166070,Poor
3950019,77312,540869,0.04,149,723,Salaried,Approved,Active,21-11-2024,2163476,Average
90266616,65393,962438,0.06,133,690,Self-Employed,Rejected,Closed,11-03-2025,5774628,Average
1291561,24317,939857,0.04,330,721,Self-Employed,Approved,Closed,15-07-2024,3759428,Average
28080808,17621,724724,0.05,166,712,Self-Employed,Defaulted,Active,04-09-2024,3623620,Average
75737679,62929,32376,0.09,73,543,Salaried,Rejected,Active,14-05-2024,291384,Poor
84511579,12555,668221,0.08,334,764,Salaried,Rejected,Active,22-04-2024,5345768,Good
19992417,47180,625661,0.02,89,597,Salaried,Defaulted,Active,02-01-2025,1251322,Fair
43760581,14752,51125,0.09,16,605,Self-Employed,Approved,Closed,18-05-2024,460125,Fair
71391564,29975,676522,0.04,341,516,Salaried,Approved,Active,05-05-2024,2706088,Poor
19179174,89649,853804,0.05,296,833,Salaried,Approved,Active,18-09-2024,4269020,Excellent
84203065,70437,185342,0.08,30,492,Self-Employed,Approved,Active,30-03-2025,1482736,Poor
71102086,66790,268381,0.02,105,823,Self-Employed,Defaulted,Closed,27-03-2025,536762,Excellent
95533789,23737,766866,0.09,219,777,Self-Employed,Approved,Active,27-10-2024,6901794,Good
10121557,49314,476146,0.01,216,301,Salaried,Defaulted,Active,19-02-2025,476146,Poor
13386775,50665,555817,0.04,251,604,Salaried,Defaulted,Active,13-10-2024,2223268,Fair
44254739,52979,889227,0.05,286,348,Salaried,Approved,Active,06-02-2025,4446135,Poor
32273577,89885,993941,0.04,165,613,Salaried,Approved,Closed,01-06-2024,3975764,Fair
